,Title,Release_Year,Genre,IMDB_Rating,Runtime,Age_Rating,Country_Origin,Available_Streaming_Services,Link,Type(Movie/TV_Show)
0,Oppenheimer,2023,"Drama, History",8.3,3h 0min,UA,"United States, United Kingdom",Jio Cinema,https://www.justwatch.com/in/movie/oppenheimer,Movie
1,Anatomy of a Fall,2023,"Mystery & Thriller, Crime, Drama",7.7,2h 32min,Na,France,Amazon Prime Video,https://www.justwatch.com/in/movie/anatomie-dune-chute,Movie
2,12th Fail,2023,Drama,9.0,2h 27min,Na,India,Hotstar,https://www.justwatch.com/in/movie/12th-fail,Movie
3,Poor Things,2023,"Science-Fiction, Romance, Comedy, Drama",7.9,2h 22min,A,"Ireland, United Kingdom, United States",Hotstar,https://www.justwatch.com/in/movie/poor-things,Movie
4,Sam Bahadur,2023,"Drama, War & Military, History",7.8,2h 30min,UA,India,Zee5,https://www.justwatch.com/in/movie/sam-bahadur,Movie
5,DJ Tillu,2022,"Action & Adventure, Comedy, Crime, Romance",7.2,2h 1min,UA,India,"Sony Liv,aha",https://www.justwatch.com/in/movie/dj-tillu,Movie
6,777 Charlie,2022,"Action & Adventure, Comedy, Drama",8.7,2h 46min,UA,India,"Amazon Prime Video,Jio Cinema",https://www.justwatch.com/in/movie/777-charlie,Movie
7,The Kerala Story,2023,Drama,7.0,2h 18min,A,Na,Zee5,https://www.justwatch.com/in/movie/the-kerala-story,Movie
8,Godzilla Minus One,2023,"Science-Fiction, Horror, Action & Adventure, Drama",8.3,2h 4min,Na,Japan,,https://www.justwatch.com/in/movie/godzilla-minus-one,Movie
9,Maidaan,2022,"Drama, History, Sport",8.5,3h 1min,Na,India,,https://www.justwatch.com/in/movie/maidaan,Movie
10,Farzi,2023,"Crime, Drama, Mystery & Thriller",8.4,56min,Na,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/farzi,Tv_Show
11,Reacher,2022,"Action & Adventure, Crime, Drama, Mystery & Thriller",8.1,48min,A,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/jack-reacher,Tv_Show
12,The Last of Us,2023,"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure, Horror",8.7,58min,A,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/the-last-of-us,Tv_Show
